S/T code,S/T name,LGA code,LGA name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and over,Total Persons
5,Western Australia,52310,Cuballing,59,76,69,50,23,33,47,39,68,67,67,66,85,60,42,16,13,17,897
5,Western Australia,52380,Cue,10,9,15,11,12,16,14,18,2,22,35,31,31,24,7,10,3,1,271
5,Western Australia,52450,Cunderdin,102,89,73,137,50,74,79,68,62,74,92,104,106,56,48,43,34,34,1325
5,Western Australia,52520,Dalwallinu,105,77,53,50,79,102,98,87,66,80,136,78,72,47,43,34,47,30,1284
5,Western Australia,52590,Dandaragan,215,202,175,86,98,189,196,190,185,251,255,240,251,264,180,131,101,44,3253
5,Western Australia,52660,Dardanup,1130,1070,920,894,895,1007,1019,920,919,1033,935,902,658,575,461,405,243,247,14233
5,Western Australia,52730,Denmark,326,343,406,387,183,249,300,297,355,430,418,434,414,473,371,243,147,110,5886
5,Western Australia,52800,Derby-West Kimberley,585,738,616,475,701,995,1061,749,709,576,499,410,303,205,102,55,67,57,8903
5,Western Australia,52870,Donnybrook-Balingup,329,403,412,281,199,232,281,271,383,390,482,522,493,439,292,208,118,114,5849
5,Western Australia,52940,Dowerin,55,64,44,21,18,37,44,52,47,40,21,53,56,31,17,30,15,34,679
5,Western Australia,53010,Dumbleyung,37,40,28,8,9,31,41,35,35,34,58,50,33,39,34,48,8,13,581
5,Western Australia,53080,Dundas,77,72,47,26,79,109,85,86,93,78,93,52,83,63,57,16,2,9,1127
5,Western Australia,53150,East Fremantle (T),420,482,501,453,443,345,420,431,561,690,684,592,513,366,287,203,189,163,7743
5,Western Australia,53220,East Pilbara,515,599,569,400,793,1783,1684,1177,1363,1023,878,758,322,184,59,52,18,20,12197
5,Western Australia,53290,Esperance,1036,1051,1002,1019,748,787,809,1009,1045,1015,1048,905,761,730,574,425,274,240,14478
5,Western Australia,53360,Exmouth,208,181,147,78,101,191,208,224,243,219,203,160,123,122,95,50,21,17,2591
5,Western Australia,53430,Fremantle,1685,1672,1352,1378,1896,2566,2601,2119,2184,2091,2130,2152,1917,1665,1272,999,707,660,31046
5,Western Australia,53570,Gingin,323,405,319,245,164,222,243,294,433,384,393,396,491,433,327,213,89,76,5450
5,Western Australia,53640,Gnowangerup,114,118,97,29,67,80,87,79,62,78,126,99,77,88,40,20,20,8,1289
5,Western Australia,53710,Goomalling,82,101,77,26,20,40,48,78,67,60,69,61,64,60,67,29,14,22,985
5,Western Australia,53780,Gosnells,9393,8809,7893,8329,9409,10690,10772,9152,8915,7936,7465,6612,5968,4860,3382,2535,1515,1416,125051
5,Western Australia,53800,Greater Geraldton,2966,3069,3044,3063,2461,2678,2608,2567,2923,2883,2811,2663,2145,1720,1304,980,694,644,41223
5,Western Australia,53920,Halls Creek,247,324,329,321,307,357,399,316,231,181,252,249,161,100,83,32,18,23,3930
5,Western Australia,53990,Harvey,1932,2143,2040,2005,1370,1666,1861,1939,1969,1929,1879,1699,1452,1330,842,608,331,293,27288
5,Western Australia,54060,Irwin,198,234,282,210,128,115,127,218,300,238,283,273,277,287,225,164,105,89,3753
5,Western Australia,54130,Jerramungup,53,79,61,35,72,80,76,72,72,89,82,107,62,45,26,21,26,21,1079
5,Western Australia,54170,Joondalup,9610,10709,10692,12229,12032,10265,9790,10455,12554,12449,12655,12129,10450,8464,5205,3375,2414,2414,167891
5,Western Australia,54200,Kalamunda,3909,4030,3962,4494,3943,3798,3897,3973,4296,4056,3946,3684,3470,3152,2390,1777,1094,959,60830
5,Western Australia,54280,Kalgoorlie/Boulder,2762,2431,2217,2083,2651,3427,2874,2493,2467,2320,2284,1701,1234,838,534,354,197,195,33062
5,Western Australia,54310,Karratha,2001,1759,1284,1197,1783,3062,3017,2676,2559,2168,1855,1388,865,356,114,68,44,32,26228
5,Western Australia,54340,Katanning,306,341,347,277,194,239,213,278,321,288,291,282,266,247,167,132,88,73,4350
5,Western Australia,54410,Kellerberrin,88,89,87,77,33,74,46,42,59,94,76,66,91,95,60,51,30,61,1219
5,Western Australia,54480,Kent,47,41,28,21,17,28,79,48,29,30,36,30,40,9,29,2,6,1,521
5,Western Australia,54550,Kojonup,162,167,120,94,74,114,93,114,123,144,160,145,108,106,68,85,72,50,1999
5,Western Australia,54620,Kondinin,57,54,46,17,46,72,93,63,64,72,105,84,104,56,47,37,16,22,1055
5,Western Australia,54690,Koorda,45,38,32,1,26,11,21,17,31,16,34,29,29,30,23,25,18,9,435
5,Western Australia,54760,Kulin,60,63,52,2,20,31,55,45,74,65,43,74,64,59,38,23,15,16,799
5,Western Australia,54830,Kwinana,3198,2920,2356,2304,2687,3590,3473,2864,2617,2380,1956,1743,1477,1190,929,668,425,372,37149
5,Western Australia,54900,Lake Grace,100,96,66,26,37,60,92,75,115,133,120,120,97,62,47,18,35,15,1314
5,Western Australia,54970,Laverton,32,50,35,39,112,135,120,120,122,107,103,93,71,44,15,7,7,4,1216
5,Western Australia,55040,Leonora,100,111,80,72,218,420,355,214,219,229,170,130,85,30,23,3,11,6,2476
5,Western Australia,55110,Mandurah,5274,5446,4990,5315,4737,4665,4692,4574,5257,5100,5390,5160,5222,5744,4459,3498,2392,2016,83931
5,Western Australia,55180,Manjimup,542,691,731,549,383,433,428,506,637,658,726,714,660,597,393,321,232,203,9404
5,Western Australia,55250,Meekatharra,54,61,58,42,74,180,181,85,112,142,113,102,70,48,17,13,10,14,1376
5,Western Australia,55320,Melville,5427,6113,5957,7060,8181,7073,6448,6431,6963,7223,7478,7348,6572,5459,4102,3080,2579,3161,106655
5,Western Australia,55390,Menzies,14,23,22,17,18,29,36,20,27,30,32,47,15,31,9,3,1,4,378
5,Western Australia,55460,Merredin,222,190,234,175,332,224,167,205,224,200,210,223,190,157,110,93,65,70,3291
5,Western Australia,55530,Mingenew,33,34,21,7,17,36,21,54,34,35,23,57,44,16,13,13,11,4,473
5,Western Australia,55600,Moora,213,187,161,166,127,160,151,174,155,166,183,201,131,101,101,64,47,51,2539
5,Western Australia,55670,Morawa,41,63,64,72,33,60,38,49,82,70,60,46,46,53,39,24,13,26,879
5,Western Australia,55740,Mosman Park (T),469,528,620,770,657,697,657,589,633,646,573,564,571,508,404,240,198,223,9547
5,Western Australia,55810,Mount Magnet,32,38,31,29,31,73,56,37,67,65,53,32,28,32,21,11,3,4,643
5,Western Australia,55880,Mount Marshall,23,34,26,2,21,39,25,38,31,38,43,29,35,24,6,7,21,7,449
5,Western Australia,55950,Mukinbudin,29,26,23,21,11,22,16,25,45,34,46,34,32,52,16,13,19,4,468
5,Western Australia,56090,Mundaring,2037,2458,2592,2857,2467,1901,2032,2308,2956,3267,3232,2989,2630,2281,1613,1043,693,659,40015
5,Western Australia,56160,Murchison,2,7,5,2,5,22,9,4,14,0,16,7,9,2,9,0,0,1,114
5,Western Australia,56230,Murray,1011,1165,1219,1103,707,835,1007,1074,1110,1039,1267,1072,1168,1221,936,648,383,297,17262
5,Western Australia,56300,Nannup,58,72,74,60,28,35,38,55,83,88,103,157,143,145,99,21,25,23,1307
5,Western Australia,56370,Narembeen,49,43,45,22,67,46,32,40,49,57,69,59,38,64,25,34,31,25,795
5,Western Australia,56450,Narrogin,50,63,52,142,32,34,43,59,47,58,70,79,55,51,27,21,6,2,891
5,Western Australia,56520,Narrogin (T),313,377,327,460,323,224,292,228,276,226,208,293,217,214,166,131,90,102,4467
5,Western Australia,56580,Nedlands,1080,1603,1705,1658,1874,1239,995,1095,1403,1666,1727,1596,1511,1262,980,681,461,548,23084
5,Western Australia,56620,Ngaanyatjarraku,91,118,99,93,111,171,160,114,86,91,76,79,58,22,9,10,17,15,1420
5,Western Australia,56730,Northam,747,796,804,756,656,722,695,726,679,686,778,840,766,674,495,327,196,212,11555
5,Western Australia,56790,Northampton,179,186,223,146,85,76,149,210,195,241,263,278,264,262,204,119,96,77,3253
5,Western Australia,56860,Nungarin,6,10,20,11,2,4,5,14,12,30,17,36,8,5,4,26,1,7,218
5,Western Australia,56930,Peppermint Grove,36,76,192,185,121,75,52,49,88,105,136,130,89,98,77,57,34,46,1646
5,Western Australia,57000,Perenjori,36,38,28,23,32,102,104,76,91,73,71,97,52,29,19,8,9,7,895
5,Western Australia,57080,Perth,740,228,188,676,2316,4313,3619,1779,1124,1039,1067,1123,992,757,520,290,188,133,21092
5,Western Australia,57140,Pingelly,76,93,82,30,62,73,44,47,80,73,91,94,89,68,75,55,24,32,1188
5,Western Australia,57210,Plantagenet,274,291,280,301,225,260,243,333,327,366,434,444,397,362,271,165,93,119,5185
5,Western Australia,57280,Port Hedland (T),1307,1122,838,789,1254,2054,1966,1530,1400,1176,1147,872,494,215,148,79,46,46,16483
5,Western Australia,57350,Quairading,71,62,67,19,43,51,50,53,43,68,86,95,75,79,68,47,50,17,1044
5,Western Australia,57420,Ravensthorpe,159,200,131,36,58,120,203,177,169,160,198,192,93,136,104,75,31,21,2263
5,Western Australia,57490,Rockingham,10303,9798,8788,8884,9001,9856,9751,8772,9248,8882,8286,6804,5477,4979,3773,2776,1882,1702,128962
5,Western Australia,57630,Sandstone,0,0,8,5,8,9,0,3,6,22,8,8,14,5,7,0,1,1,105
5,Western Australia,57700,Serpentine-Jarrahdale,2012,1973,1927,1670,1494,1665,1699,1668,1881,1780,1565,1363,1094,926,599,369,234,189,24108
5,Western Australia,57770,Shark Bay,66,63,31,15,34,51,79,67,62,71,66,99,69,70,50,30,12,16,951
5,Western Australia,57840,South Perth,2418,2223,1972,2974,4661,4799,3822,2935,2848,2805,2833,2829,2672,2206,1456,1035,774,982,46244
5,Western Australia,57910,Stirling,14644,12391,11028,12013,16594,23123,21559,16618,15540,14024,13401,12339,10874,9782,7647,6251,4687,5051,227566
5,Western Australia,57980,Subiaco,1081,1012,887,1052,2026,2494,1927,1579,1168,1108,1151,1156,1094,996,707,427,276,282,20423
5,Western Australia,58050,Swan,9893,9598,9280,9240,9350,10308,10369,9453,10025,9692,8928,7470,6207,5013,3389,2303,1478,1307,133303
5,Western Australia,58190,Tammin,32,54,37,13,15,18,30,15,25,28,44,25,21,13,8,19,0,9,406
5,Western Australia,58260,Three Springs,48,44,23,15,26,44,55,35,39,36,32,62,56,38,4,6,31,20,614
5,Western Australia,58330,Toodyay,180,249,251,270,152,162,210,183,259,395,421,448,433,397,242,168,74,50,4544
5,Western Australia,58400,Trayning,14,26,14,9,5,6,19,19,16,28,29,30,22,33,22,14,0,20,326
5,Western Australia,58470,Upper Gascoyne,42,34,15,18,16,11,16,12,20,3,13,34,7,10,4,4,2,3,264
5,Western Australia,58510,Victoria Park (T),2271,1766,1225,1599,3663,5015,4410,3197,2581,2160,2082,1866,1625,1318,980,796,745,1151,38450
5,Western Australia,58540,Victoria Plains,59,69,48,19,43,65,94,66,73,58,88,60,46,52,46,16,5,7,914
5,Western Australia,58570,Vincent,2006,1741,1363,1349,3115,5346,4806,3232,2795,2411,2122,1873,1447,1110,818,680,575,672,37461
5,Western Australia,58610,Wagin,137,128,110,55,74,86,123,103,81,125,123,145,164,156,113,67,66,64,1920
5,Western Australia,58680,Wandering,29,38,21,11,16,21,20,24,42,46,34,26,27,29,28,12,6,4,434
5,Western Australia,58760,Wanneroo,15722,15168,13445,13340,12862,15079,15758,14364,14556,13178,11189,8826,7317,6327,4633,3251,2044,1726,188785
5,Western Australia,58820,Waroona,279,239,271,246,249,249,235,199,239,300,289,296,254,215,178,151,90,76,4055
5,Western Australia,58890,West Arthur,61,76,62,24,33,27,53,69,71,74,60,63,62,54,40,45,15,15,904
5,Western Australia,59030,Westonia,10,16,12,3,6,14,35,13,18,20,34,26,20,11,10,4,3,4,259
5,Western Australia,59100,Wickepin,77,39,39,12,18,32,28,43,55,87,71,58,41,46,25,25,9,13,718
5,Western Australia,59170,Williams,76,67,52,46,40,57,51,79,61,39,79,72,53,64,29,46,21,5,937
5,Western Australia,59250,Wiluna,29,36,26,19,79,206,175,102,118,100,110,85,26,18,17,2,3,5,1156
5,Western Australia,59310,Wongan-Ballidu,130,151,97,37,40,97,110,102,93,87,99,105,104,61,45,45,32,45,1480
5,Western Australia,59320,Woodanilling,33,34,43,21,11,35,27,13,34,33,33,22,30,19,15,9,10,0,422
5,Western Australia,59330,Wyalkatchem,23,50,36,9,36,12,23,29,37,26,35,35,43,49,35,14,20,13,525
5,Western Australia,59340,Wyndham-East Kimberley,674,721,620,413,572,901,907,726,638,623,578,435,340,248,119,73,27,45,8660
5,Western Australia,59350,Yalgoo,12,9,14,2,37,60,58,42,41,29,29,37,13,3,14,2,0,0,402
5,Western Australia,59360,Yilgarn,72,90,79,16,87,164,125,110,138,135,134,119,91,75,29,40,28,20,1552
5,Western Australia,59370,York,176,168,248,196,169,131,161,120,192,231,291,298,304,248,215,143,99,70,3460
6,Tasmania,60210,Break O`Day (M),311,333,372,275,236,210,269,288,326,399,502,604,636,643,505,263,143,154,6469
6,Tasmania,60410,Brighton (M),1306,1327,1214,1242,911,935,995,1023,1020,1024,1043,1057,946,785,512,303,208,159,16010
6,Tasmania,60610,Burnie,1212,1309,1305,1490,1358,1092,1120,1174,1268,1275,1353,1339,1205,1045,818,636,464,424,19887
6,Tasmania,60810,Central Coast (M),1240,1416,1442,1416,959,1002,1083,1118,1414,1572,1747,1734,1626,1536,1167,828,596,505,22401
6,Tasmania,61010,Central Highlands (M),157,115,113,87,132,108,118,119,116,154,195,181,237,192,121,87,40,37,2309
6,Tasmania,61210,Circular Head (M),524,618,610,593,434,427,535,406,472,544,662,616,457,476,316,250,148,157,8245
6,Tasmania,61410,Clarence,3459,3428,3198,3402,2965,3034,3453,3192,3713,3522,3804,3845,3526,3321,2448,1793,1311,1260,54674
6,Tasmania,61510,Derwent Valley (M),632,651,635,710,520,549,559,532,630,662,843,720,697,579,384,344,197,182,10026
6,Tasmania,61610,Devonport,1575,1603,1580,1749,1586,1348,1392,1396,1717,1526,1641,1656,1562,1557,1255,937,705,748,25533
6,Tasmania,61810,Dorset (M),385,411,435,422,244,316,353,335,405,459,558,578,568,524,394,307,200,211,7105
6,Tasmania,62010,Flinders (M),29,44,35,2,7,14,41,28,34,68,75,119,90,104,47,25,17,4,783
6,Tasmania,62210,George Town (M),495,488,400,421,352,286,333,324,367,445,492,536,558,436,373,262,126,108,6802
6,Tasmania,62410,Glamorgan/Spring Bay (M),149,199,203,155,146,173,146,165,279,244,356,412,473,527,427,233,107,99,4493
6,Tasmania,62610,Glenorchy,3089,2857,2610,2927,3148,3108,2988,2687,2933,2915,3098,3015,2439,2325,1875,1482,1206,1125,45827
6,Tasmania,62810,Hobart,2414,2308,2482,3015,5225,4215,3182,3069,3227,3236,3541,3521,3291,2581,1870,1307,1038,1192,50714
6,Tasmania,63010,Huon Valley (M),937,1127,1055,976,680,662,789,969,1187,1187,1273,1214,1198,1204,767,583,315,231,16354
6,Tasmania,63210,Kentish (M),360,412,381,488,252,254,344,290,427,496,593,508,504,485,286,204,100,97,6481
6,Tasmania,63410,King Island (M),87,78,64,79,71,100,66,67,97,117,131,110,150,133,69,74,44,40,1577
6,Tasmania,63610,Kingborough (M),2251,2640,2516,2301,1883,1848,2065,2034,2318,2259,2519,2571,2449,2161,1561,1050,724,683,35833
6,Tasmania,63810,Latrobe (M),557,725,642,619,475,565,538,611,635,745,840,838,833,758,593,440,290,234,10938
6,Tasmania,64010,Launceston,3981,4113,3748,4711,5476,4569,4238,3816,4332,4318,4221,4217,3820,3525,2691,2068,1524,1710,67078
6,Tasmania,64210,Meander Valley (M),1037,1142,1263,1333,1034,877,968,980,1388,1385,1441,1490,1413,1356,939,674,506,460,19686
6,Tasmania,64610,Northern Midlands (M),753,793,774,873,578,533,622,669,830,879,942,1030,888,888,653,479,317,248,12749
6,Tasmania,64810,Sorell (M),931,876,874,898,738,741,861,788,889,966,1092,1003,940,825,611,377,274,271,13955
6,Tasmania,65010,Southern Midlands (M),343,481,427,368,223,302,326,313,398,494,491,570,486,399,330,162,81,84,6278
6,Tasmania,65210,Tasman (M),82,139,161,85,37,62,112,107,119,153,217,226,245,208,200,120,71,61,2405
6,Tasmania,65410,Waratah/Wynyard (M),826,856,840,1040,758,650,658,713,861,994,1094,1087,1030,945,754,541,347,295,14289
6,Tasmania,65610,West Coast (M),271,295,256,225,272,246,323,253,338,321,329,327,289,262,214,145,76,41,4483
6,Tasmania,65810,West Tamar (M),1278,1507,1606,1548,1028,919,1048,1203,1510,1670,1810,1828,1604,1549,1220,827,545,502,23202
7,Northern Territory,70200,Alice Springs (T),2220,2025,1955,1918,1805,2335,2506,2118,2144,1961,1933,1770,1354,809,570,259,164,126,27972
7,Northern Territory,70420,Barkly (R),739,769,654,594,669,705,649,583,545,512,455,386,302,250,178,106,31,41,8168
7,Northern Territory,70540,Belyuen,13,27,12,17,11,17,34,10,25,10,11,7,0,8,2,2,2,1,209
7,Northern Territory,70620,Central Desert (R),376,438,388,283,349,443,438,301,255,254,210,212,171,114,56,31,25,24,4368
7,Northern Territory,70700,Coomalie,63,47,49,80,79,61,57,57,99,117,122,123,152,105,48,14,20,3,1296
7,Northern Territory,71000,Darwin,5579,4855,4730,4937,5921,8427,7934,6598,6091,5759,5751,4877,4288,3189,1920,1063,575,418,82912
7,Northern Territory,71300,East Arnhem (R),811,1053,1155,940,969,1039,1078,851,696,582,496,400,276,187,105,54,25,13,10730
7,Northern Territory,72200,Katherine (T),1075,865,769,642,748,948,918,747,811,761,764,674,557,388,217,133,71,30,11118
7,Northern Territory,72300,Litchfield (M),1529,1416,1519,1589,1954,1590,1498,1593,2033,1958,1840,1644,1423,1014,583,251,119,61,23614
7,Northern Territory,72330,MacDonnell (R),497,567,516,420,654,745,751,646,527,403,399,325,202,151,85,43,24,27,6982
7,Northern Territory,72800,Palmerston,3488,2937,2482,2296,2934,3697,3424,2924,2640,2075,1669,1453,1005,668,431,271,146,112,34652
7,Northern Territory,73600,Roper Gulf (R),642,784,673,547,707,838,649,446,452,430,309,339,269,169,72,49,46,15,7436
7,Northern Territory,74050,Tiwi Islands (R),196,219,261,272,268,329,302,254,211,203,179,199,94,56,28,18,8,5,3102
7,Northern Territory,74550,Victoria Daly (R),294,351,338,235,246,300,265,179,216,198,174,185,153,76,40,38,21,17,3326
7,Northern Territory,74560,Wagait,10,21,16,16,12,12,13,28,31,48,56,40,48,36,28,10,1,1,427
7,Northern Territory,74660,West Arnhem (R),608,686,690,617,666,737,701,495,646,466,359,296,238,123,58,24,14,28,7452
7,Northern Territory,74680,West Daly (R),425,477,446,316,370,361,330,215,163,163,168,145,75,50,19,23,11,7,3764
7,Northern Territory,79399,Unincorporated NT,435,422,321,290,466,776,735,649,576,540,483,444,281,188,111,45,11,6,6779
8,Australian Capital Territory,89399,Unincorporated ACT,27238,24664,21752,23031,31065,33861,33260,28576,28468,25586,24528,22151,19012,16720,11370,8063,5535,5826,390706
9,Other Territories,99399,Unincorp. Other Territories,163,152,183,181,184,346,449,263,251,213,220,182,203,118,64,40,17,11,3240
